NUISANCE_PARAMETERS
BB  0.598377 +0.0597151 -0.0597151
gamma_stat_mjmeanSd0_bin_7  1.01217 +0.0782015 -0.0782015
gamma_stat_mjmeanSd0_bin_8  0.992293 +0.0793376 -0.0793376
gamma_stat_mjmeanSd0_bin_9  1.00204 +0.0600863 -0.0600863
gamma_stat_nmjmeanSd0_2TAG_bin_0  1.00091 +0.0855198 -0.0855198
gamma_stat_nmjmeanSd0_2TAG_bin_1  0.98472 +0.154993 -0.154993
gamma_stat_nmjmeanSd0_2TAG_bin_11  1.00303 +0.0254298 -0.0254298
gamma_stat_nmjmeanSd0_2TAG_bin_12  0.998643 +0.0229933 -0.0229933
gamma_stat_nmjmeanSd0_2TAG_bin_13  0.996081 +0.0246245 -0.0246245
gamma_stat_nmjmeanSd0_2TAG_bin_14  0.994173 +0.0256751 -0.0256751
gamma_stat_nmjmeanSd0_2TAG_bin_15  0.998566 +0.0274732 -0.0274732
gamma_stat_nmjmeanSd0_2TAG_bin_16  1.00261 +0.0303613 -0.0303613
gamma_stat_nmjmeanSd0_2TAG_bin_17  0.999067 +0.0347829 -0.0347829
gamma_stat_nmjmeanSd0_2TAG_bin_18  0.994504 +0.0373371 -0.0373371
gamma_stat_nmjmeanSd0_2TAG_bin_19  0.995971 +0.0376184 -0.0376184
gamma_stat_nmjmeanSd0_2TAG_bin_2  0.986798 +0.140059 -0.140059
gamma_stat_nmjmeanSd0_2TAG_bin_20  1.00272 +0.0481305 -0.0481305
gamma_stat_nmjmeanSd0_2TAG_bin_21  0.996809 +0.0453159 -0.0453159
gamma_stat_nmjmeanSd0_2TAG_bin_22  0.99908 +0.0482486 -0.0482486
gamma_stat_nmjmeanSd0_2TAG_bin_23  0.993573 +0.0516148 -0.0516148
gamma_stat_nmjmeanSd0_2TAG_bin_24  0.996565 +0.0560121 -0.0560121
gamma_stat_nmjmeanSd0_2TAG_bin_25  0.996631 +0.0599346 -0.0599346
gamma_stat_nmjmeanSd0_2TAG_bin_26  1.01375 +0.068987 -0.068987
gamma_stat_nmjmeanSd0_2TAG_bin_27  1.00039 +0.0702509 -0.0702509
gamma_stat_nmjmeanSd0_2TAG_bin_28  0.990292 +0.0746572 -0.0746572
gamma_stat_nmjmeanSd0_2TAG_bin_29  0.998058 +0.0667051 -0.0667051
gamma_stat_nmjmeanSd0_2TAG_bin_3  0.999758 +0.0893611 -0.0893611
gamma_stat_nmjmeanSd0_2TAG_bin_30  0.996271 +0.0676024 -0.0676024
gamma_stat_nmjmeanSd0_2TAG_bin_31  0.990795 +0.0978412 -0.0978412
gamma_stat_nmjmeanSd0_2TAG_bin_32  1.00251 +0.0801161 -0.0801161
gamma_stat_nmjmeanSd0_2TAG_bin_33  0.998368 +0.119162 -0.119162
gamma_stat_nmjmeanSd0_2TAG_bin_4  1.00158 +0.093698 -0.093698
gamma_stat_nmjmeanSd0_2TAG_bin_5  1.01913 +0.0802528 -0.0802528
gamma_stat_nmjmeanSd0_2TAG_bin_6  0.994674 +0.0593148 -0.0593148
gamma_stat_nmjmeanSd0_2TAG_bin_7  1.01319 +0.0535154 -0.0535154
gamma_stat_nmjmeanSd0_2TAG_bin_8  1.00385 +0.0369515 -0.0369515
gamma_stat_nmjmeanSd0_2TAG_bin_9  1.00612 +0.0214342 -0.0214342
gamma_stat_nmjmeanSd0_bin_0  0.980719 +0.278182 -0.278182
gamma_stat_nmjmeanSd0_bin_1  1.13371 +0.267218 -0.267218
gamma_stat_nmjmeanSd0_bin_10  0.990855 +0.080616 -0.080616
gamma_stat_nmjmeanSd0_bin_11  1.02506 +0.106646 -0.106646
