NUISANCE_PARAMETERS
BB  0.647863 +0.059729 -0.059729
gamma_stat_nmjmeanSd0_2TAG_bin_11  1.0025 +0.0199773 -0.0199773
gamma_stat_nmjmeanSd0_2TAG_bin_12  1.00422 +0.0225415 -0.0225415
gamma_stat_nmjmeanSd0_2TAG_bin_13  0.999251 +0.0234927 -0.0234927
gamma_stat_nmjmeanSd0_2TAG_bin_14  0.999558 +0.0293876 -0.0293876
gamma_stat_nmjmeanSd0_2TAG_bin_15  0.993663 +0.0312806 -0.0312806
gamma_stat_nmjmeanSd0_2TAG_bin_16  0.995854 +0.033017 -0.033017
gamma_stat_nmjmeanSd0_2TAG_bin_17  1.00265 +0.0326304 -0.0326304
gamma_stat_nmjmeanSd0_2TAG_bin_18  0.972649 +0.0394482 -0.0394482
gamma_stat_nmjmeanSd0_2TAG_bin_19  0.99305 +0.0394564 -0.0394564
gamma_stat_nmjmeanSd0_2TAG_bin_2  1.005 +0.0690161 -0.0690161
gamma_stat_nmjmeanSd0_2TAG_bin_20  0.985265 +0.0455997 -0.0455997
gamma_stat_nmjmeanSd0_2TAG_bin_21  0.972806 +0.0554926 -0.0554926
gamma_stat_nmjmeanSd0_2TAG_bin_22  0.980337 +0.0535977 -0.0535977
gamma_stat_nmjmeanSd0_2TAG_bin_23  0.97336 +0.0609431 -0.0609431
gamma_stat_nmjmeanSd0_2TAG_bin_24  0.984268 +0.0726487 -0.0726487
gamma_stat_nmjmeanSd0_2TAG_bin_25  0.998699 +0.0512841 -0.0512841
gamma_stat_nmjmeanSd0_2TAG_bin_26  0.981068 +0.0658594 -0.0658594
gamma_stat_nmjmeanSd0_2TAG_bin_27  0.994358 +0.0710522 -0.0710522
gamma_stat_nmjmeanSd0_2TAG_bin_28  0.985997 +0.0816765 -0.0816765
gamma_stat_nmjmeanSd0_2TAG_bin_29  0.995977 +0.0512353 -0.0512353
gamma_stat_nmjmeanSd0_2TAG_bin_3  1.03385 +0.126132 -0.126132
gamma_stat_nmjmeanSd0_2TAG_bin_30  0.98557 +0.0962193 -0.0962193
gamma_stat_nmjmeanSd0_2TAG_bin_31  0.998352 +0.0636639 -0.0636639
gamma_stat_nmjmeanSd0_2TAG_bin_4  1.01329 +0.0764311 -0.0764311
gamma_stat_nmjmeanSd0_2TAG_bin_5  1.00212 +0.0662859 -0.0662859
gamma_stat_nmjmeanSd0_2TAG_bin_6  1.00386 +0.0549236 -0.0549236
gamma_stat_nmjmeanSd0_2TAG_bin_7  1.01552 +0.0491121 -0.0491121
gamma_stat_nmjmeanSd0_2TAG_bin_8  1.00571 +0.03623 -0.03623
gamma_stat_nmjmeanSd0_2TAG_bin_9  1.00566 +0.0207153 -0.0207153
gamma_stat_nmjmeanSd0_bin_0  0.892999 +0.193725 -0.193725
gamma_stat_nmjmeanSd0_bin_1  1.01861 +0.22567 -0.22567
gamma_stat_nmjmeanSd0_bin_10  1.0221 +0.0762212 -0.0762212
gamma_stat_nmjmeanSd0_bin_11  1.03294 +0.0734485 -0.0734485
gamma_stat_nmjmeanSd0_bin_12  1.0405 +0.0677956 -0.0677956
gamma_stat_nmjmeanSd0_bin_13  0.97669 +0.0509652 -0.0509652
gamma_stat_nmjmeanSd0_bin_14  0.994068 +0.0440452 -0.0440452
gamma_stat_nmjmeanSd0_bin_15  1.00825 +0.0357271 -0.0357271
gamma_stat_nmjmeanSd0_bin_16  0.998414 +0.0278119 -0.0278119
gamma_stat_nmjmeanSd0_bin_17  0.990101 +0.021212 -0.021212
gamma_stat_nmjmeanSd0_bin_2  1.00792 +0.208581 -0.208581
gamma_stat_nmjmeanSd0_bin_23  0.999078 +0.0200616 -0.0200616
gamma_stat_nmjmeanSd0_bin_24  1.00827 +0.0233099 -0.0233099
gamma_stat_nmjmeanSd0_bin_25  1.01212 +0.0269173 -0.0269173
gamma_stat_nmjmeanSd0_bin_26  1.01095 +0.029508 -0.029508
gamma_stat_nmjmeanSd0_bin_27  0.998685 +0.0331617 -0.0331617
