NUISANCE_PARAMETERS
BB  0.609189 +0.0415752 -0.0415752
gamma_stat_nmjmeanSd0_2TAG_bin_24  1.00006 +0.0444546 -0.0444546
gamma_stat_nmjmeanSd0_2TAG_bin_25  1.00561 +0.0406251 -0.0406251
gamma_stat_nmjmeanSd0_2TAG_bin_26  0.997072 +0.031689 -0.031689
gamma_stat_nmjmeanSd0_2TAG_bin_27  0.974913 +0.0586728 -0.0586728
gamma_stat_nmjmeanSd0_2TAG_bin_28  0.979586 +0.0581257 -0.0581257
gamma_stat_nmjmeanSd0_2TAG_bin_29  0.997442 +0.0312252 -0.0312252
gamma_stat_nmjmeanSd0_2TAG_bin_3  1.01134 +0.0790201 -0.0790201
gamma_stat_nmjmeanSd0_2TAG_bin_30  0.979198 +0.0790069 -0.0790069
gamma_stat_nmjmeanSd0_2TAG_bin_31  1.00231 +0.0873023 -0.0873023
gamma_stat_nmjmeanSd0_2TAG_bin_32  0.999842 +0.0412561 -0.0412561
gamma_stat_nmjmeanSd0_2TAG_bin_4  0.999059 +0.0463023 -0.0463023
gamma_stat_nmjmeanSd0_2TAG_bin_5  0.996631 +0.0614481 -0.0614481
gamma_stat_nmjmeanSd0_2TAG_bin_6  1.01079 +0.0515141 -0.0515141
gamma_stat_nmjmeanSd0_2TAG_bin_7  1.03375 +0.0490103 -0.0490103
gamma_stat_nmjmeanSd0_2TAG_bin_8  1.00765 +0.0385283 -0.0385283
gamma_stat_nmjmeanSd0_2TAG_bin_9  1.01622 +0.0328862 -0.0328862
gamma_stat_nmjmeanSd0_bin_0  1.03142 +0.124072 -0.124072
gamma_stat_nmjmeanSd0_bin_1  0.904508 +0.203167 -0.203167
gamma_stat_nmjmeanSd0_bin_10  1.00259 +0.0778357 -0.0778357
gamma_stat_nmjmeanSd0_bin_11  1.0105 +0.0656836 -0.0656836
gamma_stat_nmjmeanSd0_bin_12  1.02852 +0.0573602 -0.0573602
gamma_stat_nmjmeanSd0_bin_13  0.96808 +0.0501409 -0.0501409
gamma_stat_nmjmeanSd0_bin_14  1.00123 +0.0441035 -0.0441035
gamma_stat_nmjmeanSd0_bin_15  1.01254 +0.0353775 -0.0353775
gamma_stat_nmjmeanSd0_bin_16  0.995361 +0.0287651 -0.0287651
gamma_stat_nmjmeanSd0_bin_17  1.00515 +0.0185964 -0.0185964
gamma_stat_nmjmeanSd0_bin_2  1.00734 +0.126755 -0.126755
gamma_stat_nmjmeanSd0_bin_22  1.0069 +0.0191267 -0.0191267
gamma_stat_nmjmeanSd0_bin_23  1.00177 +0.0201161 -0.0201161
gamma_stat_nmjmeanSd0_bin_24  0.999588 +0.0221843 -0.0221843
gamma_stat_nmjmeanSd0_bin_25  0.99683 +0.0264494 -0.0264494
gamma_stat_nmjmeanSd0_bin_26  1.00812 +0.0283228 -0.0283228
gamma_stat_nmjmeanSd0_bin_27  1.00467 +0.03006 -0.03006
gamma_stat_nmjmeanSd0_bin_28  1.00282 +0.0291775 -0.0291775
gamma_stat_nmjmeanSd0_bin_29  0.998256 +0.047346 -0.047346
gamma_stat_nmjmeanSd0_bin_3  1.03775 +0.160713 -0.160713
gamma_stat_nmjmeanSd0_bin_30  1.0044 +0.0365368 -0.0365368
gamma_stat_nmjmeanSd0_bin_31  1.00125 +0.0393376 -0.0393376
gamma_stat_nmjmeanSd0_bin_32  1.02398 +0.0409548 -0.0409548
gamma_stat_nmjmeanSd0_bin_33  1.01231 +0.0421014 -0.0421014
gamma_stat_nmjmeanSd0_bin_34  1.0006 +0.0579269 -0.0579269
gamma_stat_nmjmeanSd0_bin_35  0.975075 +0.0531496 -0.0531496
gamma_stat_nmjmeanSd0_bin_36  0.991871 +0.0636852 -0.0636852
gamma_stat_nmjmeanSd0_bin_37  1.02201 +0.0646663 -0.0646663
gamma_stat_nmjmeanSd0_bin_38  1.00899 +0.0543917 -0.0543917
gamma_stat_nmjmeanSd0_bin_39  0.994983 +0.0978815 -0.0978815
gamma_stat_nmjmeanSd0_bin_4  0.983168 +0.154738 -0.154738
gamma_stat_nmjmeanSd0_bin_40  1.03071 +0.104863 -0.104863
gamma_stat_nmjmeanSd0_bin_41  0.983526 +0.0724233 -0.0724233
gamma_stat_nmjmeanSd0_bin_42  0.987687 +0.0874346 -0.0874346
gamma_stat_nmjmeanSd0_bin_43  1.00526 +0.0685786 -0.0685786
