NUISANCE_PARAMETERS
BB  0.676156 +0.0930829 -0.0930829
gamma_stat_mjmeanSd0_bin_52  0.996124 +0.178018 -0.178018
gamma_stat_mjmeanSd0_bin_53  0.980321 +0.206471 -0.206471
gamma_stat_mjmeanSd0_bin_54  1.00199 +0.214952 -0.214952
gamma_stat_mjmeanSd0_bin_55  0.90412 +0.367871 -0.367871
gamma_stat_mjmeanSd0_bin_56  1.02431 +0.232069 -0.232069
gamma_stat_mjmeanSd0_bin_57  1.03111 +0.287011 -0.287011
gamma_stat_mjmeanSd0_bin_58  0.987494 +0.299251 -0.299251
gamma_stat_mjmeanSd0_bin_6  1.00567 +0.117642 -0.117642
gamma_stat_mjmeanSd0_bin_7  0.988647 +0.104729 -0.104729
gamma_stat_mjmeanSd0_bin_8  1.14897 +0.33187 -0.33187
gamma_stat_mjmeanSd0_bin_9  1.0138 +0.107336 -0.107336
gamma_stat_nmjmeanSd0_2TAG_bin_0  0.99993 +0.159499 -0.159499
gamma_stat_nmjmeanSd0_2TAG_bin_1  0.956456 +0.387027 -0.387027
gamma_stat_nmjmeanSd0_2TAG_bin_10  1.00258 +0.061301 -0.061301
gamma_stat_nmjmeanSd0_2TAG_bin_11  1.00011 +0.0245513 -0.0245513
gamma_stat_nmjmeanSd0_2TAG_bin_12  1.0021 +0.0260602 -0.0260602
gamma_stat_nmjmeanSd0_2TAG_bin_13  0.999196 +0.0276612 -0.0276612
gamma_stat_nmjmeanSd0_2TAG_bin_14  0.996432 +0.0326678 -0.0326678
gamma_stat_nmjmeanSd0_2TAG_bin_15  1.00156 +0.0286621 -0.0286621
gamma_stat_nmjmeanSd0_2TAG_bin_16  1.00463 +0.0317147 -0.0317147
gamma_stat_nmjmeanSd0_2TAG_bin_17  1.00208 +0.0340276 -0.0340276
gamma_stat_nmjmeanSd0_2TAG_bin_18  0.994815 +0.034917 -0.034917
gamma_stat_nmjmeanSd0_2TAG_bin_19  1.0044 +0.0387142 -0.0387142
gamma_stat_nmjmeanSd0_2TAG_bin_2  0.994829 +0.181338 -0.181338
gamma_stat_nmjmeanSd0_2TAG_bin_20  0.996376 +0.0435147 -0.0435147
gamma_stat_nmjmeanSd0_2TAG_bin_21  0.997253 +0.0449853 -0.0449853
gamma_stat_nmjmeanSd0_2TAG_bin_22  1.00222 +0.0538401 -0.0538401
gamma_stat_nmjmeanSd0_2TAG_bin_23  0.99466 +0.0558627 -0.0558627
gamma_stat_nmjmeanSd0_2TAG_bin_24  1.00907 +0.057519 -0.057519
gamma_stat_nmjmeanSd0_2TAG_bin_25  0.992569 +0.0615665 -0.0615665
gamma_stat_nmjmeanSd0_2TAG_bin_26  0.998226 +0.0643099 -0.0643099
gamma_stat_nmjmeanSd0_2TAG_bin_27  0.997151 +0.0797446 -0.0797446
gamma_stat_nmjmeanSd0_2TAG_bin_28  1.00073 +0.0792473 -0.0792473
gamma_stat_nmjmeanSd0_2TAG_bin_29  0.992137 +0.113382 -0.113382
gamma_stat_nmjmeanSd0_2TAG_bin_3  0.990818 +0.1581 -0.1581
gamma_stat_nmjmeanSd0_2TAG_bin_30  1.00189 +0.0909006 -0.0909006
gamma_stat_nmjmeanSd0_2TAG_bin_31  1.00067 +0.0725495 -0.0725495
gamma_stat_nmjmeanSd0_2TAG_bin_32  1.0036 +0.0896373 -0.0896373
gamma_stat_nmjmeanSd0_2TAG_bin_33  0.996156 +0.0993638 -0.0993638
gamma_stat_nmjmeanSd0_2TAG_bin_34  0.99845 +0.0877712 -0.0877712
gamma_stat_nmjmeanSd0_2TAG_bin_35  1.00221 +0.162232 -0.162232
gamma_stat_nmjmeanSd0_2TAG_bin_36  0.999369 +0.141003 -0.141003
gamma_stat_nmjmeanSd0_2TAG_bin_4  0.987548 +0.170939 -0.170939
gamma_stat_nmjmeanSd0_2TAG_bin_5  1.0152 +0.143747 -0.143747
gamma_stat_nmjmeanSd0_2TAG_bin_6  1.01163 +0.104743 -0.104743
gamma_stat_nmjmeanSd0_2TAG_bin_7  0.996214 +0.100786 -0.100786
gamma_stat_nmjmeanSd0_2TAG_bin_8  0.997363 +0.0901733 -0.0901733
gamma_stat_nmjmeanSd0_2TAG_bin_9  1.00289 +0.0613762 -0.0613762
gamma_stat_nmjmeanSd0_bin_0  1.11418 +0.305891 -0.305891
gamma_stat_nmjmeanSd0_bin_1  1.09466 +0.448266 -0.448266
gamma_stat_nmjmeanSd0_bin_10  1.02189 +0.0972602 -0.0972602
gamma_stat_nmjmeanSd0_bin_11  1.0262 +0.144535 -0.144535
gamma_stat_nmjmeanSd0_bin_12  1.00712 +0.0947374 -0.0947374
gamma_stat_nmjmeanSd0_bin_13  1.04391 +0.108395 -0.108395
gamma_stat_nmjmeanSd0_bin_14  1.01962 +0.0711643 -0.0711643
gamma_stat_nmjmeanSd0_bin_15  0.997328 +0.0598142 -0.0598142
gamma_stat_nmjmeanSd0_bin_16  0.981858 +0.0494925 -0.0494925
gamma_stat_nmjmeanSd0_bin_17  1.00014 +0.0295618 -0.0295618
gamma_stat_nmjmeanSd0_bin_2  1.00935 +0.235069 -0.235069
gamma_stat_nmjmeanSd0_bin_20  0.989624 +0.022642 -0.022642
gamma_stat_nmjmeanSd0_bin_21  1.00058 +0.0201553 -0.0201553
gamma_stat_nmjmeanSd0_bin_22  0.999383 +0.0242825 -0.0242825
gamma_stat_nmjmeanSd0_bin_23  1.01023 +0.032607 -0.032607
gamma_stat_nmjmeanSd0_bin_24  1.00092 +0.026937 -0.026937
gamma_stat_nmjmeanSd0_bin_25  0.995576 +0.0341418 -0.0341418
gamma_stat_nmjmeanSd0_bin_26  1.0069 +0.0471906 -0.0471906
gamma_stat_nmjmeanSd0_bin_27  0.995411 +0.0305139 -0.0305139
gamma_stat_nmjmeanSd0_bin_28  1.00627 +0.0401197 -0.0401197
gamma_stat_nmjmeanSd0_bin_29  1.00335 +0.0392512 -0.0392512
gamma_stat_nmjmeanSd0_bin_3  1.07201 +0.331451 -0.331451
gamma_stat_nmjmeanSd0_bin_30  0.997062 +0.0445984 -0.0445984
gamma_stat_nmjmeanSd0_bin_31  1.00943 +0.0451944 -0.0451944
gamma_stat_nmjmeanSd0_bin_32  0.996749 +0.0544844 -0.0544844
gamma_stat_nmjmeanSd0_bin_33  0.999585 +0.0541749 -0.0541749
gamma_stat_nmjmeanSd0_bin_34  0.970571 +0.0931628 -0.0931628
gamma_stat_nmjmeanSd0_bin_35  0.991465 +0.0643801 -0.0643801
gamma_stat_nmjmeanSd0_bin_36  0.99532 +0.0770619 -0.0770619
gamma_stat_nmjmeanSd0_bin_37  1.01723 +0.0897093 -0.0897093
gamma_stat_nmjmeanSd0_bin_38  1.01416 +0.0889123 -0.0889123
gamma_stat_nmjmeanSd0_bin_39  1.00524 +0.0852607 -0.0852607
gamma_stat_nmjmeanSd0_bin_4  0.983266 +0.301279 -0.301279
gamma_stat_nmjmeanSd0_bin_40  0.993521 +0.157384 -0.157384
gamma_stat_nmjmeanSd0_bin_41  0.94892 +0.166928 -0.166928
gamma_stat_nmjmeanSd0_bin_42  0.998264 +0.104335 -0.104335
gamma_stat_nmjmeanSd0_bin_43  0.997265 +0.154016 -0.154016
gamma_stat_nmjmeanSd0_bin_44  0.972702 +0.13754 -0.13754
gamma_stat_nmjmeanSd0_bin_45  0.990202 +0.122519 -0.122519
gamma_stat_nmjmeanSd0_bin_46  0.983811 +0.140868 -0.140868
gamma_stat_nmjmeanSd0_bin_47  1.00428 +0.135019 -0.135019
gamma_stat_nmjmeanSd0_bin_48  1.02288 +0.176629 -0.176629
gamma_stat_nmjmeanSd0_bin_49  0.977232 +0.206704 -0.206704
gamma_stat_nmjmeanSd0_bin_5  0.979837 +0.215606 -0.215606
gamma_stat_nmjmeanSd0_bin_50  1.01639 +0.19805 -0.19805
gamma_stat_nmjmeanSd0_bin_51  1.02326 +0.197309 -0.197309
gamma_stat_nmjmeanSd0_bin_52  1.01739 +0.219183 -0.219183
gamma_stat_nmjmeanSd0_bin_53  0.996694 +0.26686 -0.26686
gamma_stat_nmjmeanSd0_bin_54  0.97501 +0.241697 -0.241697
gamma_stat_nmjmeanSd0_bin_55  0.986295 +0.254593 -0.254593
gamma_stat_nmjmeanSd0_bin_6  0.982219 +0.138294 -0.138294
gamma_stat_nmjmeanSd0_bin_7  0.974764 +0.159093 -0.159093
gamma_stat_nmjmeanSd0_bin_8  1.0401 +0.162318 -0.162318
gamma_stat_nmjmeanSd0_bin_9  0.990833 +0.103585 -0.103585


CORRELATION_MATRIX
181   181
-0.00334828   0.00158773   -0.005516   -0.00170678   -0.00383385   -0.00552396   -0.0115457   -0.00457348   -0.00581226   -0.0122522   -0.00395222   -0.00738967   -0.0132964   -0.0105527   -0.00978319   -0.0131286   -0.0153241   -0.0252236   -0.0116375   -0.035299   -0.0246328   -0.004719   -0.0153415   -0.0210188   -0.0288394   -0.0186103   -0.027508   -0.0394396   -0.0289287   -0.0353165   -0.0272688   -0.0405912   -0.00302219   -0.0278177   -0.0344414   -0.0275954   -0.05036   -0.0318611   -0.0204722   -0.017322   -0.00718156   0.0167468   0.0865374   0.00551997   0.0109771   -0.00542715   0.00341437   -0.00653461   -0.0113682   -5.87337e-05   -0.011889   -0.00610582   -0.00542546   -0.00396115   -0.000519167   0.00224719   -0.000914696   -0.000610074   7.97908e-05   5.59329e-06   -0.000337076   -0.000379742   -0.00113978   -0.00153129   -0.00205151   -0.00246846   -0.00398734   -0.000852401   -0.0014165   -0.00351918   -0.000466524   -0.00553189   -0.00527872   -0.00430844   -0.00681259   -0.00489272   -0.00574028   -0.00456586   -0.000135016   -0.00387424   -0.0054154   -0.00286178   -0.0020066   0.000827016   -0.000394629   0.00233692   0.0241359   0.0139055   0.00603778   -0.00690937   -0.00021372   0.0056213   0.0027041   0.00293065   0.0012902   -0.00308026   -0.00120407   0.00229502   -0.00656959   0.00357671   0.00132337   -0.000439431   -0.00226203   -0.000741669   0.0016375   -0.0028435   -0.00420758   0.00161894   -0.00230157   -0.00607727   -0.00905953   -0.0019485   -0.000636922   -0.00717838   -0.00939178   -0.00107534   -0.00499392   -0.00740187   -0.00822941   -0.00575612   -0.0139858   -0.00839037   -0.011121   -0.0136424   -0.0149422   -0.00540396   0.00464292   -0.0054675   -0.00839052   -0.018125   -0.0179655   -0.00531284   0.00221125   -0.00700187   0.000434517   -0.00713433   8.26005e-05   0.0028068   0.000684035   -0.00122341   -0.000246636   0.00465351   0.000189355   0.0260297   0.00399281   0.0028604   0.000980506   0.000772554   0.000723648   0.000258457   -7.21406e-05   -0.001233   -2.59556e-05   -0.000177595   2.65718e-05   -0.000763452   -0.000318131   -0.000876981   -0.000315238   -0.000850707   -0.000335403   -6.08212e-05   -0.000664874   -6.08017e-05   -0.000808868   -0.000140277   -0.00142808   -0.000260731   0.00183062   0.00168257   0.00329371   0.00313456   0.00409984   0.00296913   -2.67131e-05   -0.839235   0.115535   0.273089   -0.637416   -0.457764   1   
0.000620387   -0.00226014   0.00728147   0.00262105   0.00100738   0.00177515   0.013572   0.00458425   0.00273935   0.00519869   -0.00129958   0.00307838   0.00463554   0.00503761   0.00443749   0.0057748   0.00906304   0.0138475   0.00457852   0.0178942   0.00715061   0.00347455   0.0115638   0.00813216   0.0137926   0.00628686   0.0139725   0.0167535   0.0165027   0.0171497   0.0140491   0.0194788   -0.00428728   0.0141144   0.0174701   0.0142018   0.0272707   0.0180106   0.0116727   0.0115039   0.00813468   -0.00576411   -0.0472173   -0.00299118   -0.0122937   0.00260353   -0.0019738   0.00262645   0.0054393   -0.0015612   0.00318954   -0.000168983   0.00235645   0.00613048   0.00252689   -0.00150924   0.000343915   0.00104582   0.000222729   0.000896144   0.000395016   -0.000208531   0.00140141   0.00163134   0.00245536   0.00341152   0.00583587   0.00083794   1.45292e-05   0.00432101   0.00336708   0.0069624   0.00614156   0.00516074   0.0077095   0.0069001   0.00707691   0.00673147   -0.000275775   0.00679177   0.00836771   0.00628555   0.00665945   0.00588507   0.0039085   -0.00377077   -0.0454776   -0.0269008   -0.00604901   0.0143519   0.000240788   -0.00979592   -0.016992   -0.00762127   -0.00499764   0.000660046   -0.000942682   -0.00473733   -0.00901211   -0.00721405   -0.00493634   -0.00586442   -0.00290354   -0.00417474   -0.00563741   -0.00600859   -0.00234026   -0.0224233   -0.00731069   -0.00576978   -0.00699655   -0.00885914   -0.0144177   -0.0199118   -0.00868796   -0.00249893   -0.0146326   -0.0141816   -0.0155349   -0.015681   -0.0213522   -0.0147975   -0.0217472   -0.0229279   -0.0270096   -0.026508   -0.0116687   -0.0255156   -0.025173   -0.0611391   -0.0175712   -0.0196031   -0.00946802   0.0378183   0.00916339   0.00980413   0.00138722   -0.0139129   -0.0208442   -0.00574522   -0.00683349   -0.0140714   -0.00238531   -0.0124118   0.000250105   0.000386386   -0.00520411   -0.00112042   -0.00129245   -0.00189674   -0.000111578   0.000438782   -0.000578735   -0.00126759   -0.00239713   -0.00125225   -0.00226308   -0.0022326   -0.00438762   -0.00542922   -0.00247489   -0.00488628   0.000371471   -0.0039685   -0.00075372   -0.00223085   -0.00114143   -0.00104718   -0.00320381   -0.000372229   -0.00178399   0.00115218   0.0014333   -0.00392747   -1.48845e-05   0.251511   0.289453   -0.60158   0.238184   1   -0.457764   
0.00082124   -0.00480578   0.00729718   -3.90987e-05   0.00272774   0.00386719   0.0138314   0.00367101   0.00452604   0.00716961   0.0033762   0.00681422   0.00906705   0.00701778   0.00719192   0.00928774   0.0131773   0.0180036   0.00775953   0.0263294   0.0161565   0.0027213   0.0128379   0.0146736   0.0189151   0.0128228   0.02046   0.0198562   0.0129072   0.0218761   0.0127628   0.0224193   0.00219015   0.00843997   0.0100569   0.0024633   0.00925445   -0.00310541   -0.0153466   -0.044109   -0.0514093   -0.0792502   -0.165314   -0.00923915   -0.0216819   -0.0084902   -0.0147032   -0.00123953   0.00605189   -0.00207185   0.00942053   0.00414808   0.00723827   0.00617247   0.000135504   -0.002566   0.00152938   0.000770236   -0.000286331   -0.000661378   0.000382897   0.000650412   0.00144227   0.00153983   0.00219891   0.0029483   0.00433507   0.000934706   0.00205538   0.00344482   -0.00151482   0.00592358   0.00564709   0.00397445   0.00722545   0.00449601   0.00559956   0.00370679   0.000352546   0.00265158   0.00552064   0.00133883   -0.000709491   -0.00540492   -0.0017894   -0.00169765   -0.016009   -0.00847751   -0.0072164   0.0124075   0.000340269   -0.00552204   -0.00212945   -0.00147811   -0.000278409   0.00207674   0.000578921   -0.00265448   0.0057966   -0.00296324   -0.00361897   -0.00123258   0.00178465   0.00122477   -0.000619412   0.00243638   0.00440498   0.00189422   0.00342229   0.00456072   0.00465307   0.000123417   0.000529841   0.00603316   0.00648019   0.000213636   0.00376198   0.00690729   0.00512517   0.00497638   0.0105629   0.0065534   0.00715799   0.0108585   0.0109853   0.00521534   -0.00228328   0.00198771   0.00443646   0.0111026   0.0136413   -0.00129208   -0.000798395   0.0172098   0.0100196   0.0176781   0.00618739   0.00185513   0.00549224   0.00540458   0.00329618   -0.00176248   -0.000310041   -0.0390616   -0.0053785   -0.00414893   0.00158083   -0.00024356   -0.000276996   0.000837789   0.000159039   0.0020402   0.000268596   0.000827449   0.000964809   0.00169315   0.00144431   0.00222405   0.00232476   0.00367316   0.00150528   0.00207444   0.000884662   0.00163868   0.00160269   0.00157794   0.00235669   0.000417597   -0.00171269   -0.00180124   -0.00500629   -0.00463187   -0.00523206   -0.00287748   7.10562e-05   0.469488   -0.0714523   -0.516097   1   0.238184   -0.637416   
-7.519e-05   0.00553645   -0.0112398   -0.00394354   -0.000582391   0.00016672   -0.0192419   -0.00514803   -0.0028517   -0.00216944   0.00280469   -0.00532615   -0.00323268   -0.00316386   -0.003399   -0.0046396   -0.0106906   -0.0118161   -0.00269831   -0.0113845   -0.00115687   -0.00274248   -0.0137553   -0.0059269   -0.00905364   -0.00561262   -0.0115277   -0.00417585   -0.00851065   -0.0107377   -0.00654206   -0.0102724   0.00964644   -0.0029954   -0.00335961   0.000167362   -0.00277585   0.00149911   0.0106989   0.0290933   0.0297323   0.0466723   0.0959708   0.0048205   0.0216192   0.00592351   0.00627174   -0.00193704   -0.00325808   0.000754679   -3.59664e-05   0.000683689   -0.00327986   -0.0100262   -0.00218434   0.00106748   -0.00091032   -0.00115499   1.89664e-05   -3.89492e-05   -0.000367125   2.97694e-05   -0.00156062   -0.00111394   -0.00205788   -0.00357231   -0.00547957   -0.000674001   -0.000250178   -0.00313134   -0.000633031   -0.00601005   -0.00509018   -0.00323273   -0.00609528   -0.00500193   -0.00514533   -0.00417332   5.77128e-05   -0.00404935   -0.00733109   -0.00353838   -0.00260237   -0.000222486   -0.000812765   0.0022   0.0284442   0.0160712   0.00611455   -0.0230914   -0.000385796   0.00581743   0.0158725   0.00447355   0.00261632   -0.000318277   0.000812814   0.00379725   0.0119171   0.00471054   0.00521977   0.00467622   0.00126397   0.00230039   0.00324831   0.00371547   -0.000780186   0.0122389   0.002167   0.00346473   0.00610318   0.00692357   0.00899982   0.0148422   0.00499419   0.00181402   0.00913542   0.00528503   0.0100771   0.00836901   0.0131109   0.00715819   0.0130462   0.0122591   0.0138383   0.0117594   0.00723991   0.0136392   0.010427   0.0181875   -0.00430924   -0.000794648   0.00591498   -0.0558338   -0.0380556   -0.0384653   -0.0188654   0.000388483   0.00469922   -0.0044554   -0.00146552   0.00667422   0.00162746   0.0213529   9.80991e-05   -4.53187e-05   0.0018065   9.30183e-05   0.000419248   0.000353197   3.56192e-05   -0.000750935   0.000324879   0.000590253   0.00129506   0.00044717   0.00110642   0.00103189   0.00225582   0.00250677   0.00128372   0.00271171   -0.000403237   0.0023191   4.10783e-05   0.000395933   0.000763317   0.00112916   0.00261822   -0.000450522   0.00303715   -0.000854441   -0.0020828   0.00293247   -3.60348e-05   -0.12779   -0.715003   1   -0.516097   -0.60158   0.273089   
