NUISANCE_PARAMETERS
BB  0.574304 +0.052258 -0.052258
gamma_stat_nmjmeanSd0_2TAG_bin_0  1.00119 +0.209835 -0.209835
gamma_stat_nmjmeanSd0_2TAG_bin_1  1.00043 +0.104073 -0.104073
gamma_stat_nmjmeanSd0_2TAG_bin_10  1.01244 +0.0501284 -0.0501284
gamma_stat_nmjmeanSd0_2TAG_bin_11  1.00473 +0.0499185 -0.0499185
gamma_stat_nmjmeanSd0_2TAG_bin_12  0.997284 +0.0340975 -0.0340975
gamma_stat_nmjmeanSd0_2TAG_bin_13  1.00266 +0.0285556 -0.0285556
gamma_stat_nmjmeanSd0_2TAG_bin_17  0.998311 +0.0206198 -0.0206198
gamma_stat_nmjmeanSd0_2TAG_bin_18  0.996776 +0.0207825 -0.0207825
gamma_stat_nmjmeanSd0_2TAG_bin_19  1.00531 +0.022793 -0.022793
gamma_stat_nmjmeanSd0_2TAG_bin_2  0.991208 +0.133982 -0.133982
gamma_stat_nmjmeanSd0_2TAG_bin_20  0.999809 +0.0253186 -0.0253186
gamma_stat_nmjmeanSd0_2TAG_bin_21  0.999191 +0.0256839 -0.0256839
gamma_stat_nmjmeanSd0_2TAG_bin_22  0.996225 +0.0276088 -0.0276088
gamma_stat_nmjmeanSd0_2TAG_bin_23  0.999784 +0.0310989 -0.0310989
gamma_stat_nmjmeanSd0_2TAG_bin_24  0.996481 +0.0306819 -0.0306819
gamma_stat_nmjmeanSd0_2TAG_bin_25  1.00026 +0.0325692 -0.0325692
gamma_stat_nmjmeanSd0_2TAG_bin_26  1.00402 +0.0370782 -0.0370782
gamma_stat_nmjmeanSd0_2TAG_bin_27  0.981416 +0.0529156 -0.0529156
gamma_stat_nmjmeanSd0_2TAG_bin_28  0.99068 +0.0541756 -0.0541756
gamma_stat_nmjmeanSd0_2TAG_bin_29  0.99258 +0.0588886 -0.0588886
gamma_stat_nmjmeanSd0_2TAG_bin_3  1.00489 +0.13093 -0.13093
gamma_stat_nmjmeanSd0_2TAG_bin_30  0.994268 +0.0468026 -0.0468026
gamma_stat_nmjmeanSd0_2TAG_bin_31  0.994362 +0.0489512 -0.0489512
gamma_stat_nmjmeanSd0_2TAG_bin_32  0.998705 +0.0558155 -0.0558155
gamma_stat_nmjmeanSd0_2TAG_bin_33  1.00178 +0.0390273 -0.0390273
