NUISANCE_PARAMETERS
BB  0.670824 +0.0523218 -0.0523218
gamma_stat_nmjmeanSd0_2TAG_bin_18  1.00124 +0.0249258 -0.0249258
gamma_stat_nmjmeanSd0_2TAG_bin_19  0.987123 +0.0291654 -0.0291654
gamma_stat_nmjmeanSd0_2TAG_bin_2  1.00431 +0.0543261 -0.0543261
gamma_stat_nmjmeanSd0_2TAG_bin_20  0.994327 +0.0306792 -0.0306792
gamma_stat_nmjmeanSd0_2TAG_bin_21  0.99224 +0.0347692 -0.0347692
gamma_stat_nmjmeanSd0_2TAG_bin_22  0.99743 +0.0353871 -0.0353871
gamma_stat_nmjmeanSd0_2TAG_bin_23  0.993105 +0.0394506 -0.0394506
gamma_stat_nmjmeanSd0_2TAG_bin_24  0.99343 +0.0431061 -0.0431061
gamma_stat_nmjmeanSd0_2TAG_bin_25  0.983708 +0.0527372 -0.0527372
gamma_stat_nmjmeanSd0_2TAG_bin_26  0.996041 +0.032847 -0.032847
gamma_stat_nmjmeanSd0_2TAG_bin_27  0.993806 +0.0548283 -0.0548283
gamma_stat_nmjmeanSd0_2TAG_bin_28  0.993469 +0.0415544 -0.0415544
gamma_stat_nmjmeanSd0_2TAG_bin_29  0.995891 +0.0468946 -0.0468946
gamma_stat_nmjmeanSd0_2TAG_bin_3  1.03001 +0.083231 -0.083231
gamma_stat_nmjmeanSd0_2TAG_bin_30  0.986081 +0.0836017 -0.0836017
gamma_stat_nmjmeanSd0_2TAG_bin_31  0.998428 +0.0506241 -0.0506241
gamma_stat_nmjmeanSd0_2TAG_bin_32  0.997119 +0.0577852 -0.0577852
gamma_stat_nmjmeanSd0_2TAG_bin_4  1.00108 +0.0580526 -0.0580526
gamma_stat_nmjmeanSd0_2TAG_bin_5  1.00444 +0.0588562 -0.0588562
gamma_stat_nmjmeanSd0_2TAG_bin_6  0.996385 +0.0503443 -0.0503443
gamma_stat_nmjmeanSd0_2TAG_bin_7  1.00218 +0.0448745 -0.0448745
gamma_stat_nmjmeanSd0_2TAG_bin_8  1.01139 +0.0489642 -0.0489642
gamma_stat_nmjmeanSd0_2TAG_bin_9  0.99892 +0.0317412 -0.0317412
gamma_stat_nmjmeanSd0_bin_0  1.22448 +0.169943 -0.169943
gamma_stat_nmjmeanSd0_bin_1  1.03663 +0.134534 -0.134534
gamma_stat_nmjmeanSd0_bin_10  1.02366 +0.0589142 -0.0589142
gamma_stat_nmjmeanSd0_bin_11  0.994707 +0.0464506 -0.0464506
